idx,device_id,latitude,longitude,snapshot_datetime,collector_id,destination_request_id,snapshot_datetime_unix
-MsegYUKV7_-CCykpLn0,b8e1d679ea29c711,27.2040342,31.1748044,2022-01-05 16:43:49.845341,51,51.0,1641401029
-MsegZhiluCV8Uhl6xPp,b8e1d679ea29c711,27.2040366,31.174807,2022-01-05 16:43:54.862421,51,51.0,1641401034
-Mseg_xmscxfwlZ5mwfS,b8e1d679ea29c711,27.2040366,31.174807,2022-01-05 16:43:59.986485,51,51.0,1641401039
-Msegb9y9THXIKF-CQiM,b8e1d679ea29c711,27.2040366,31.174807,2022-01-05 16:44:04.926225,51,51.0,1641401044
-MsegcMCC6hk2-5w0CJf,b8e1d679ea29c711,27.2040366,31.174807,2022-01-05 16:44:09.805667,51,51.0,1641401049
-MsegdgE3-2WKFW5QW7H,b8e1d679ea29c711,27.2040366,31.174807,2022-01-05 16:44:15.246786,51,51.0,1641401055
-MsegeoqTomQvmrBYRwe,b8e1d679ea29c711,27.2040366,31.174807,2022-01-05 16:44:19.894750,51,51.0,1641401059
-Msegg2i8fSzBkDpfwrM,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:44:24.942731,51,51.0,1641401064
-MseghG9wTCQb7PMfCTh,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:44:29.898282,51,51.0,1641401069
-MsegiVGm04sJFERv8Kg,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:44:34.961210,51,51.0,1641401074
-MsegjhWQv9ZC38UcZ8a,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:44:39.905113,51,51.0,1641401079
-Mseh04hQErUJhmFdVfc,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:45:51.085810,51,51.0,1641401151
-Mseh13QixAjVB1SxA7a,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:45:55.099459,51,51.0,1641401155
-Mseh2HVxL-GVS5Df2-r,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:46:00.095817,51,51.0,1641401160
-Mseh3TWtdz3_BTp9jxc,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:46:04.960955,51,51.0,1641401164
-Mseh4eG1XZldXsPWCwg,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:46:09.808705,51,51.0,1641401169
-Mseh5v6YL65vLkTxumo,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:46:14.982863,51,51.0,1641401174
-Mseh76c0p5wHMsol--K,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:46:19.880027,51,51.0,1641401179
-Mseh8L3YMHIWZkg_7CB,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:46:24.900334,51,51.0,1641401184
-Mseh9Z8eHdrqpw_-Mbm,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:46:29.897321,51,51.0,1641401189
-MsehAmfTctG49nR7R2U,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:46:34.923222,51,51.0,1641401194
-MsehC-6tMXwWA-1kbrm,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:46:39.878747,51,51.0,1641401199
-MsehDDQYcd7b9ugqvcl,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:46:44.891004,51,51.0,1641401204
-MsehESlx-OLnuLlcqEs,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:46:49.968943,51,51.0,1641401209
-MsehFehDonFr4PtsUyN,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:46:54.893207,51,51.0,1641401214
-MsehGt5iguWvnxzU0dF,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:46:59.910440,51,51.0,1641401219
-MsehI7GTm4fJZC9gn59,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:47:04.977572,51,51.0,1641401224
-MsehJKQLFzC4iTsj_0e,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:47:09.914991,51,51.0,1641401229
-MsehKYMYPUWtAHcMjeh,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:47:14.903325,51,51.0,1641401234
-MsehLmLZN5E96o4egDA,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:47:19.958060,51,51.0,1641401239
-MsehMzs_iFcAxwc75zQ,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:47:24.920344,51,51.0,1641401244
-MsehON-fz2laax3gEtn,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:47:30.559682,51,51.0,1641401250
-MsehPRihF0_WCBUjUX-,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:47:34.958478,51,51.0,1641401254
-MsehQhvzwrRfc1yyOHL,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:47:40.155668,51,51.0,1641401260
-MsehRsPagdaWdUFxarQ,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:47:44.921779,51,51.0,1641401264
-MsehT5lOhQv_RpsmXAF,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:47:49.936923,51,51.0,1641401269
-MsehUIyZMyhqk7b3mwE,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:47:54.877694,51,51.0,1641401274
-MsehVX6AH7Dz2OiG027,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:47:59.879206,51,51.0,1641401279
-MsehWkkM4XKsDnGSd5P,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:48:04.911599,51,51.0,1641401284
-MsehXz3ZfKzSuzsO6_Y,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:48:09.924664,51,51.0,1641401289
-MsehZCAI6dkgPrj8Xt4,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:48:14.922543,51,51.0,1641401294
-Mseh_PMiVZmxozSukbe,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:48:19.862674,51,51.0,1641401299
-MsehadDqZLeegtl-SSL,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:48:24.909351,51,51.0,1641401304
-MsehbrM2uER1RdsW4F8,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:48:29.911573,51,51.0,1641401309
-Msehd55hVau_6JE4c94,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:48:34.949603,51,51.0,1641401314
-MseheKaNNKl1lCeDnf1,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:48:40.038544,51,51.0,1641401320
-MsehfeUuZXPe-P2XZjQ,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:48:45.471529,51,51.0,1641401325
-Msehgjf-KQmTe0zkkOT,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:48:49.898867,51,51.0,1641401329
-MsehhyPVB_EsOKlir2a,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:48:54.938458,51,51.0,1641401334
-MsehjAw-qlBW7woHKn9,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:48:59.899775,51,51.0,1641401339
-MsehkObL8yWoMRIniiU,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:49:04.871392,51,51.0,1641401344
-MsehlbJsL-Fwfo4HOli,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:49:09.844337,51,51.0,1641401349
-MsehmtHz3uxDbrm6kvb,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:49:15.089913,51,51.0,1641401355
-MsehoFmGArPMPra0Fbd,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:49:20.690031,51,51.0,1641401360
-MsehpHSc1M_NNKRAkQV,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:49:24.892851,51,51.0,1641401364
-MsehqV2sUHoqRgx_zja,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:49:29.858841,51,51.0,1641401369
-MsehrilKJy3Bub-zb3K,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:49:34.897163,51,51.0,1641401374
-MsehsxV0rpLTQZFCeer,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:49:39.936685,51,51.0,1641401379
-MsehuAKqf5DwxfYbAuP,b8e1d679ea29c711,27.2040366,31.174809,2022-01-05 16:49:44.916846,51,51.0,1641401384
